problem_id,game,target,studyType
2035.0,PEAGAME,캥거루,0
2036.0,VENDINGMACHINEGA,축하,0
2037.0,VENDINGMACHINEGA,내일,0
2038.0,VENDINGMACHINEGA,바람,0
2039.0,VENDINGMACHINEGA,으악,0
2040.0,VENDINGMACHINEGA,아침,0
2041.0,VENDINGMACHINEGA,척척,0
2042.0,VENDINGMACHINEGA,가기,0
2043.0,VENDINGMACHINEGA,마을,0
2044.0,VENDINGMACHINEGA,이름,0
2045.0,VENDINGMACHINEGA,먹다,0
2046.0,PEAGAME,소금,0
2047.0,PEAGAME,택시,0
2048.0,PEAGAME,김치,0
2049.0,PEAGAME,바닥,0
2050.0,PEAGAME,국자,0
2051.0,VENDINGMACHINEGA,빙그레,1
2052.0,VENDINGMACHINEGA,옥수수,1
2053.0,VENDINGMACHINEGA,그림자,1
2054.0,VENDINGMACHINEGA,아기곰,1
2055.0,VENDINGMACHINEGA,남아서,1
2056.0,PEAGAME,독수리,0
2057.0,PEAGAME,다음에,0
2058.0,PEAGAME,꿈꾸다,0
2059.0,PEAGAME,세탁기,0
2060.0,PEAGAME,잠자리,0
2061.0,VENDINGMACHINEGA,마음에,0
2062.0,VENDINGMACHINEGA,세탁기,0
2063.0,VENDINGMACHINEGA,감사해,0
2064.0,VENDINGMACHINEGA,반겨요,0
2065.0,VENDINGMACHINEGA,씩씩해,0
2066.0,PEAGAME,햄버거,0
2067.0,PEAGAME,기침해,0
2068.0,PEAGAME,답답해,0
2069.0,PEAGAME,그림자,0
2070.0,VENDINGMACHINEGA,눈썹,1
2071.0,VENDINGMACHINEGA,작은,1
2072.0,VENDINGMACHINEGA,받침,1
2073.0,VENDINGMACHINEGA,땅콩,1
2074.0,VENDINGMACHINEGA,경찰,1
2075.0,MANDUGAME,양말,0
2076.0,MANDUGAME,찐빵,0
2077.0,MANDUGAME,생선,0
2078.0,VENDINGMACHINEGA,풍선,0
2079.0,VENDINGMACHINEGA,약국,0
2080.0,VENDINGMACHINEGA,생일,0
2081.0,VENDINGMACHINEGA,발톱,0
2082.0,VENDINGMACHINEGA,창문,0
2083.0,VENDINGMACHINEGA,동물,0
2084.0,VENDINGMACHINEGA,힘센,0
2085.0,VENDINGMACHINEGA,껍질,0
2086.0,VENDINGMACHINEGA,선물,0
2087.0,VENDINGMACHINEGA,눈썹,0
2088.0,PEAGAME,그림책,0
2089.0,PEAGAME,만들기,0
2090.0,PEAGAME,수영장,0
2091.0,PEAGAME,얼룩말,0
2092.0,PEAGAME,색칠해,0
2093.0,VENDINGMACHINEGA,친구들,0
2094.0,VENDINGMACHINEGA,즐거운,0
2095.0,VENDINGMACHINEGA,눈사람,0
2096.0,VENDINGMACHINEGA,엉덩이,0
2097.0,VENDINGMACHINEGA,색칠해,0
2098.0,VENDINGMACHINEGA,파란색,1
2099.0,VENDINGMACHINEGA,달콤해,1
2100.0,VENDINGMACHINEGA,꿈꾸는,1
2101.0,VENDINGMACHINEGA,숟가락,1
2102.0,PEAGAME,심심해,0
2103.0,PEAGAME,달팽이,0
2104.0,PEAGAME,복숭아,0
2105.0,PEAGAME,솜사탕,0
2106.0,PEAGAME,냉장고,0
2107.0,VENDINGMACHINEGA,달콤해,0
2108.0,VENDINGMACHINEGA,꿈꾸는,0
2109.0,VENDINGMACHINEGA,발가락,0
2110.0,VENDINGMACHINEGA,선생님,0
2111.0,VENDINGMACHINEGA,파란색,0
2112.0,PEAGAME,눈사람,0
2113.0,PEAGAME,선풍기,0
2114.0,PEAGAME,숟가락,0
2115.0,PEAGAME,엉덩이,0
2116.0,PEAGAME,선생님,0
2117.0,VENDINGMACHINEGA,나무집,0
2118.0,VENDINGMACHINEGA,장난감,0
2119.0,VENDINGMACHINEGA,그림책,0
2120.0,PEAGAME,돋아나,0
2121.0,PEAGAME,꼬집어,0
2122.0,VENDINGMACHINEGA,연못,1
2123.0,VENDINGMACHINEGA,풀밭,1
2124.0,VENDINGMACHINEGA,곶감,1
2125.0,VENDINGMACHINEGA,칫솔,1
2126.0,VENDINGMACHINEGA,햇볕,1
2127.0,PEAGAME,씨앗,0
2128.0,PEAGAME,풀밭,0
2129.0,PEAGAME,곶감,0
2130.0,PEAGAME,칫솔,0
2131.0,PEAGAME,숫자,0
